,Type,Name,Qty,MRP,Price
106,rice,Grofers Mother's Choice Pulav Basmati Rice,1 kg,130,91
107,rice,India Gate Feast Rozana Basmati Rice,10 kg,860,780
108,rice,Grofers Mother's Choice Rice Flour,500 g,40,35
109,rice,India Gate Classic Basmati Rice,1 kg,216,196
110,rice,Fortune Everyday Full Grains Basmati Rice,1 kg,149,83
111,rice,Grofers Mother's Choice Mini Mogra Basmati Rice,5 kg,350,239
112,rice,Grofers Mother's Choice Tibar Basmati Rice,1 kg,125,78
113,rice,Grofers Mother's Choice Parmal Rice,1 kg,80,42
114,rice,Family Farm Everyday/Rozana Basmati Rice,5 kg,400,258
115,rice,Grofers Mother's Choice Mogra Basmati Rice,5 kg,375,262
116,rice,India Gate 12 Min Active Health Special Brown Basmati Rice,1 kg,165,153
117,rice,Grofers Mother's Choice Golden Sella Basmati Rice,1 kg,175,95
118,rice,India Gate Mini II Mogra Basmati Rice,10 kg,390,390
119,rice,Bemisal Mother's Choice Broken Mogra Basmati Rice,1 kg,176,63
120,rice,India Gate Tibar Basmati Rice,1 kg,130,119
121,rice,Daawat Rozana Mogra Basmati Rice,10 kg,711,573
122,dal,Family Farm Arhar Dal/Toor Dal,1 kg,140,118
123,dal,Family Farm Chana Dal,1 kg,120,85
124,dal,Grofers Mother's Choice Mix Dal,500 g,90,76
125,dal,Grofers Mother's Choice Unpolished Red Masoor Dal,500 g,70,59
126,dal,Tata Sampann Unpolished Arhar Dal/Toor Dal,1 kg,149,142
127,dal,Grofers Mother's Choice Unpolished Arhar Dal/Toor Dal,1 kg,150,128
128,dal,Tata Sampann Chana Dal,500 g,63,53
129,dal,Grofers Mother's Choice Unpolished Chana Dal,500 g,70,45
130,dal,Rajdhani Chana Dal,1 kg,99,83
131,dal,Grofers Mother's Choice Unpolished Sabut/Whole Moth Dal,500 g,80,73
132,dal,Tata Sampann High Protein Arhar Dal/Toor Dal,5 kg,725,655
133,dal,Family Farm Moong Dal (Dhuli),1 kg,180,148
134,dal,Grofers Mother's Choice Unpolished Yellow Moong Dal (Dhuli),500 g,90,72
135,dal,Grofers Mother's Choice Unpolished Green Moong Dal (Chilka),1 kg,180,160
136,dal,Grofers Mother's Choice Unpolished Split White Urad Dal (Dhuli),500 g,80,73
137,dal,Tata Sampann Unpolished Yellow Moong Dal (Dhuli),1 kg,190,185
138,dal,Tata Sampann Split Unpolished Green Moong Dal (Chilka),500 g,96,96
